source_doc,source_pdf,source_page,reference_page,classification,assigned_to_block,block_start_page,block_reference_start,office,funding_year,word_count,visual_row_count,reason
114sdoc7,GPO-CDOC-114sdoc7.pdf,10,10,other,False,,,,,0,0,non_data
114sdoc7,GPO-CDOC-114sdoc7.pdf,11,11,other,False,,,,,129,38,non_data
114sdoc7,GPO-CDOC-114sdoc7.pdf,12,12,other,False,,,,,223,43,non_data
114sdoc7,GPO-CDOC-114sdoc7.pdf,13,13,other,False,,,,,195,46,non_data
114sdoc7,GPO-CDOC-114sdoc7.pdf,14,14,other,False,,,,,145,44,non_data
114sdoc7,GPO-CDOC-114sdoc7.pdf,15,15,other,False,,,,,136,47,non_data
114sdoc7,GPO-CDOC-114sdoc7.pdf,16,16,other,False,,,,,55,20,non_data
114sdoc7,GPO-CDOC-114sdoc7.pdf,17,17,banner,True,17,17,CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2013,54,27,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,18,18,banner,True,18,18,CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2014,54,27,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,19,19,banner,True,19,19,CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2015,54,27,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,20,20,banner,True,20,20,CHAIRMAN MAJORITY POLICY COMMITTEE (D),2013,54,27,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,21,21,banner,True,21,21,CHAIRMAN MAJORITY POLICY COMMITTEE (D),2014,54,27,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,22,22,banner,True,22,22,CHAIRMAN MINORITY POLICY COMMITTEE (D),2015,54,27,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,23,23,banner,True,23,23,MAJORITY LEADER (D),2013,54,27,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,24,24,banner,True,24,24,MAJORITY LEADER (D),2014,60,29,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,25,25,banner,True,25,25,MINORITY LEADER (D),2015,66,30,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,26,26,banner,True,26,26,MAJORITY WHIP (D),2013,55,28,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,27,27,banner,True,27,27,MAJORITY WHIP (D),2014,55,28,block_start
114sdoc7,GPO-CDOC-114sdoc7.pdf,28,28,banner,True,28,28,MINORITY WHIP (D),2015,55,28,block_start
