office,funding_year,start_page,status,banner_status,record_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2021,17,ok,fail,1,0,1,265.0,0.0,0,0
PRES PRO TEM EMERITUS (D),2019,18,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (D),2020,19,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2021,20,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2019,21,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2020,22,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2021,23,ok,fail,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2019,24,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2020,25,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2021,26,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2019,27,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2020,28,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2021,29,ok,fail,1,0,1,25.89,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2019,30,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2020,31,ok,banner_missing,1,0,1,2953.01,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (D),2021,32,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (R) - PENCE,2019,33,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (R) - PENCE,2020,34,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (R) - PENCE,2021,35,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2019,36,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2020,37,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (R),2021,38,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2019,39,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2020,40,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2021,41,ok,fail,3,0,3,587.04,0.0,0,0
MAJORITY WHIP (R),2019,42,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2020,43,ok,banner_missing,0,0,0,0.0,0.0,0,0
