severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1406,SENATOR JAMES LANKFORD,2022,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|1406|SENATOR JAMES LANKFORD|2022|BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1407,INTERN COMPENSATION - LANKFORD,2022,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|1407|INTERN COMPENSATION - LANKFORD|2022|BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1408,SENATOR JAMES LANKFORD,2023,BANNER NET PAYROLL,12105.21,status=banner_missing; banner=12105.21; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|1408|SENATOR JAMES LANKFORD|2023|BANNER NET PAYROLL|12105.21
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1408,SENATOR JAMES LANKFORD,2023,BANNER ORGANIZATION TOTALS,44023.58,status=fail; banner=44023.58; parsed_body=34075.76. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|1408|SENATOR JAMES LANKFORD|2023|BANNER ORGANIZATION TOTALS|44023.58
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1415,INTERN COMPENSATION - LANKFORD,2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|1415|INTERN COMPENSATION - LANKFORD|2023|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1416,SENATOR JAMES LANKFORD,2024,BANNER NET PAYROLL,1669536.09,status=fail; banner=1669536.09; parsed_body=1703378.39. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|1416|SENATOR JAMES LANKFORD|2024|BANNER NET PAYROLL|1669536.09
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1416,SENATOR JAMES LANKFORD,2024,BANNER ORGANIZATION TOTALS,1758633.32,status=fail; banner=1758633.32; parsed_body=1759077.76. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|1416|SENATOR JAMES LANKFORD|2024|BANNER ORGANIZATION TOTALS|1758633.32
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1440,SENATOR PATRICK J. LEAHY,2022,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|1440|SENATOR PATRICK J. LEAHY|2022|BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1441,INTERN COMPENSATION - LEAHY,2022,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|1441|INTERN COMPENSATION - LEAHY|2022|BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1442,SENATOR PATRICK J. LEAHY,2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|1442|SENATOR PATRICK J. LEAHY|2023|BANNER NET PAYROLL|0.0
