office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
PRESIDENT PRO TEMPORE (D),2024,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",24,TRAVEL AND TRANSPORTATION OF PERSONS,24,32.87,32.87,ok,segment
PRESIDENT PRO TEMPORE (D),2024,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",24,OTHER CONTRACTUAL SERVICES,24,70.62,70.62,ok,segment
MINORITY LEADER (R),2024,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",42,OTHER CONTRACTUAL SERVICES,42,178.1,178.1,ok,segment
APPROPRIATIONS,2024,"SALARIES, OFFICERS AND EMPLOYEES",60,PERSONNEL COMP. FULL-TIME PERMANENT,62,8273084.91,8273084.91,ok,segment
APPROPRIATIONS,2024,"SALARIES, OFFICERS AND EMPLOYEES",60,RE-EMPLOYED ANNUITANTS,62,31821.0,0.0,no_records,segment
APPROPRIATIONS,2024,"SALARIES, OFFICERS AND EMPLOYEES",60,NET PAYROLL EXPENSES,62,8304905.91,8273084.91,fail,block_running_total
CHAPLAIN,2024,"SALARIES, OFFICERS AND EMPLOYEES",69,PERSONNEL COMP. FULL-TIME PERMANENT,69,326949.84,326949.84,ok,segment
CHAPLAIN,2024,"SALARIES, OFFICERS AND EMPLOYEES",69,NET PAYROLL EXPENSES,69,326949.84,326949.84,ok,block_running_total
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,"SALARIES, OFFICERS AND EMPLOYEES",73,PERSONNEL COMP. FULL-TIME PERMANENT,74,1409537.99,1409537.99,ok,segment
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,"SALARIES, OFFICERS AND EMPLOYEES",73,NET PAYROLL EXPENSES,74,1409537.99,1409537.99,ok,block_running_total
PRESIDENT PRO TEMPORE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",77,PERSONNEL COMP. FULL-TIME PERMANENT,77,539541.35,539541.35,ok,segment
PRESIDENT PRO TEMPORE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",77,NET PAYROLL EXPENSES,77,539541.35,539541.35,ok,block_running_total
MAJORITY LEADER (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",81,PERSONNEL COMP. FULL-TIME PERMANENT,82,1571107.93,1571107.93,ok,segment
MAJORITY LEADER (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",81,NET PAYROLL EXPENSES,82,1571107.93,1571107.93,ok,block_running_total
MAJORITY WHIP (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",85,PERSONNEL COMP. FULL-TIME PERMANENT,85,967052.22,967052.22,ok,segment
MAJORITY WHIP (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",85,RE-EMPLOYED ANNUITANTS,85,24204.0,0.0,no_records,segment
MAJORITY WHIP (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",85,NET PAYROLL EXPENSES,85,991256.22,967052.22,fail,block_running_total
MAJORITY CONFERENCE COMMITTEE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",88,PERSONNEL COMP. FULL-TIME PERMANENT,88,943435.07,943435.07,ok,segment
MAJORITY CONFERENCE COMMITTEE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",88,NET PAYROLL EXPENSES,88,943435.07,943435.07,ok,block_running_total
MAJORITY POLICY COMMITTEE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",91,PERSONNEL COMP. FULL-TIME PERMANENT,91,1023282.66,1023282.66,ok,segment
MAJORITY POLICY COMMITTEE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",91,NET PAYROLL EXPENSES,92,1023282.66,1023282.66,ok,block_running_total
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2024,"SALARIES, OFFICERS AND EMPLOYEES",95,PERSONNEL COMP. FULL-TIME PERMANENT,95,236686.18,236686.18,ok,segment
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2024,"SALARIES, OFFICERS AND EMPLOYEES",95,NET PAYROLL EXPENSES,95,236686.18,236686.18,ok,block_running_total
PRES PRO TEM EMERITUS (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",98,PERSONNEL COMP. FULL-TIME PERMANENT,98,184916.6,184916.6,ok,segment
