senator_name,funding_year,start_page,record_count,outcome
THEODORE BUDD,2023,660,131,unmatched
BEN RAY LUJAN,2021,1457,36,unmatched
BEN RAY LUJAN,2022,1461,142,unmatched
BEN RAY LUJAN,2023,1468,255,unmatched
"A. MITCHELL MCCONNELL, JR.",2022,1554,75,unmatched
"A. MITCHELL MCCONNELL, JR.",2023,1559,413,unmatched
CHRIS MURPHY,2022,1665,87,unmatched
CHRIS MURPHY,2023,1671,332,unmatched
JOHN PETER RICKETTS,2023,1830,59,unmatched
JOHN R. THUNE,2022,2160,50,unmatched
JOHN R. THUNE,2023,2164,122,unmatched
