office,funding_year,account,start_page,label,check_page,expected,actual,status,basis,second_opinion,independent_sum,context
SENATOR MARK KELLY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,PERSONNEL BENEFITS,18,55.0,0.0,no_records,segment,,,
SENATOR MARK KELLY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,NET PAYROLL EXPENSES,18,55.0,55.0,ok,block_running_total,,,
SENATOR MARK KELLY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,BANNER NET PAYROLL,18,55.0,55.0,ok,banner,,,
SENATOR MARK KELLY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,BANNER ORGANIZATION TOTALS,18,5995.17,55.0,warn,banner,,,banner_only_categories
INTERN COMPENSATION - KELLY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,19,BANNER NET PAYROLL,19,0.0,0.0,banner_missing,banner,,,
INTERN COMPENSATION - KELLY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,19,BANNER ORGANIZATION TOTALS,19,0.0,0.0,ok,banner,,,
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,PERSONNEL BENEFITS,20,413.51,0.0,no_records,segment,,,
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,NET PAYROLL EXPENSES,20,413.51,413.51,ok,block_running_total,,,
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,TRAVEL AND TRANSPORTATION OF PERSONS,24,24924.13,24924.13,ok,segment,,,
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,OTHER CONTRACTUAL SERVICES,24,851.57,851.57,ok,segment,,,
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,ACQUISITION OF ASSETS,24,3393.42,3393.42,ok,segment,,,
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,BANNER NET PAYROLL,20,4530.44,413.51,fail,banner,,,fy_boundary_pattern
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,BANNER ORGANIZATION TOTALS,20,54735.39,29582.63,warn,banner,,,captured_bvb_mismatch
INTERN COMPENSATION - KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,25,BANNER NET PAYROLL,25,0.0,0.0,banner_missing,banner,,,
INTERN COMPENSATION - KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,25,BANNER ORGANIZATION TOTALS,25,0.0,0.0,ok,banner,,,
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,PERSONNEL COMP. FULL-TIME PERMANENT,27,1977100.48,1977100.48,ok,segment,,,
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,PERSONNEL BENEFITS,27,3853.66,0.0,no_records,segment,,,
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,NET PAYROLL EXPENSES,27,1980954.14,1980954.14,ok,block_running_total,,,
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,TRAVEL AND TRANSPORTATION OF PERSONS,34,47001.62,47001.62,ok,segment,,,
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,OTHER CONTRACTUAL SERVICES,34,4438.79,4438.79,ok,segment,,,
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,ACQUISITION OF ASSETS,34,187.9,187.9,ok,segment,,,
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,BANNER NET PAYROLL,26,1976837.21,1980954.14,fail,banner,,,fy_boundary_pattern
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,BANNER ORGANIZATION TOTALS,26,2109153.65,2032582.45,warn,banner,,,captured_bvb_mismatch
INTERN COMPENSATION - KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,35,PERSONNEL COMP. FULL-TIME PERMANENT,35,41797.27,41797.27,ok,segment,,,
INTERN COMPENSATION - KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,35,NET PAYROLL EXPENSES,35,41797.27,41797.27,ok,block_running_total,,,
INTERN COMPENSATION - KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,35,BANNER NET PAYROLL,35,41797.27,41797.27,ok,banner,,,
