office,funding_year,start_page,status,banner_status,record_count,page_count,continuation_page_count,subtotal_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
SENATOR MARK KELLY,2023,1353,ok,warn,0,1,0,2,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KELLY,2023,1354,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR MARK KELLY,2024,1355,ok,fail,113,5,4,5,0,113,29169.12,0.0,0,0
INTERN COMPENSATION - KELLY,2024,1360,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR MARK KELLY,2025,1361,ok,fail,280,9,8,6,0,280,2028728.79,0.0,0,0
INTERN COMPENSATION - KELLY,2025,1370,ok,ok,15,1,0,2,0,15,41797.27,0.0,0,0
SENATOR JOHN N. KENNEDY,2023,1371,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KENNEDY,2023,1372,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR JOHN N. KENNEDY,2024,1373,ok,warn,53,3,2,5,0,53,11444.8,0.0,0,0
INTERN COMPENSATION - KENNEDY,2024,1376,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR JOHN N. KENNEDY,2025,1377,ok,warn,720,27,26,6,0,720,1896424.82,0.0,0,0
INTERN COMPENSATION - KENNEDY,2025,1404,ok,ok,8,1,0,2,0,8,40283.31,0.0,0,0
SENATOR ANDY KIM,2025,1405,ok,warn,181,7,6,5,0,181,1005601.68,0.0,0,0
INTERN COMPENSATION - KIM,2025,1412,ok,ok,2,1,0,2,0,2,2589.52,0.0,0,0
SENATOR ANGUS KING,2023,1413,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KING,2023,1414,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR ANGUS KING,2024,1415,ok,fail,20,2,1,5,0,20,10094.15,0.0,0,0
INTERN COMPENSATION - KING,2024,1417,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR ANGUS KING,2025,1418,ok,fail,224,9,8,7,0,224,1954989.26,0.0,0,0
INTERN COMPENSATION - KING,2025,1427,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR AMY KLOBUCHAR,2023,1428,ok,banner_missing,1,1,0,1,0,1,65.14,0.0,0,0
INTERN COMPENSATION - KLOBUCHAR,2023,1429,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR AMY KLOBUCHAR,2024,1430,ok,warn,98,5,4,5,0,98,36372.74,0.0,0,0
INTERN COMPENSATION - KLOBUCHAR,2024,1435,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR AMY KLOBUCHAR,2025,1436,ok,fail,281,10,9,5,0,281,1984432.08,0.0,0,0
INTERN COMPENSATION - KLOBUCHAR,2025,1446,ok,ok,14,1,0,2,0,14,19769.42,0.0,0,0
SENATOR JAMES LANKFORD,2023,1447,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - LANKFORD,2023,1448,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR JAMES LANKFORD,2024,1449,ok,warn,125,6,5,3,0,125,79691.4,0.0,0,0
INTERN COMPENSATION - LANKFORD,2024,1455,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR JAMES LANKFORD,2025,1456,ok,fail,563,23,22,6,0,563,1906816.46,0.0,0,0
INTERN COMPENSATION - LANKFORD,2025,1479,ok,ok,11,1,0,2,0,11,26988.72,0.0,0,0
SENATOR PATRICK J. LEAHY,2023,1480,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - LEAHY,2023,1481,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR MIKE LEE,2023,1482,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - LEE,2023,1483,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR MIKE LEE,2024,1484,ok,warn,42,3,2,4,0,42,23082.44,0.0,0,0
INTERN COMPENSATION - LEE,2024,1487,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR MIKE LEE,2025,1488,ok,warn,285,10,9,6,0,285,1462334.65,0.0,0,0
INTERN COMPENSATION - LEE,2025,1498,ok,ok,7,1,0,2,0,7,18074.95,0.0,0,0
SENATOR BEN RAY LUJAN,2023,1499,ok,banner_missing,1,1,0,1,0,1,682.51,0.0,0,0
INTERN COMPENSATION - LUJAN,2023,1500,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR BEN RAY LUJAN,2024,1501,ok,warn,47,3,2,5,0,47,131099.63,0.0,0,0
INTERN COMPENSATION - LUJAN,2024,1504,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR BEN RAY LUJAN,2025,1505,ok,warn,225,9,8,7,0,225,1491144.08,0.0,0,0
INTERN COMPENSATION - LUJAN,2025,1514,ok,ok,3,1,0,2,0,3,7159.4,0.0,0,0
SENATOR CYNTHIA LUMMIS,2023,1515,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - LUMMIS,2023,1516,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR CYNTHIA LUMMIS,2024,1517,ok,warn,151,6,5,5,0,151,149487.97,0.0,0,0
INTERN COMPENSATION - LUMMIS,2024,1523,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
