office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
SENATOR MARK KELLY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,PERSONNEL BENEFITS,18,55.0,0.0,no_records,segment
SENATOR MARK KELLY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,NET PAYROLL EXPENSES,18,55.0,0.0,no_records,block_running_total
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,PERSONNEL BENEFITS,20,413.51,0.0,no_records,segment
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,NET PAYROLL EXPENSES,20,413.51,0.0,no_records,block_running_total
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,TRAVEL AND TRANSPORTATION OF PERSONS,24,24924.13,24924.13,ok,segment
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,OTHER CONTRACTUAL SERVICES,24,851.57,851.57,ok,segment
SENATOR MARK KELLY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,ACQUISITION OF ASSETS,24,3393.42,3393.42,ok,segment
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,PERSONNEL COMP. FULL-TIME PERMANENT,27,1977100.48,1977100.48,ok,segment
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,PERSONNEL BENEFITS,27,3853.66,0.0,no_records,segment
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,NET PAYROLL EXPENSES,27,1980954.14,1977100.48,fail,block_running_total
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,TRAVEL AND TRANSPORTATION OF PERSONS,34,47001.62,47001.62,ok,segment
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,OTHER CONTRACTUAL SERVICES,34,4438.79,4438.79,ok,segment
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,26,ACQUISITION OF ASSETS,34,187.9,187.9,ok,segment
INTERN COMPENSATION - KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,35,PERSONNEL COMP. FULL-TIME PERMANENT,35,41797.27,41797.27,ok,segment
INTERN COMPENSATION - KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,35,NET PAYROLL EXPENSES,35,41797.27,41797.27,ok,block_running_total
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,PERSONNEL BENEFITS,38,591.5,0.0,no_records,segment
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,NET PAYROLL EXPENSES,38,591.5,0.0,no_records,block_running_total
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,TRAVEL AND TRANSPORTATION OF PERSONS,40,7697.24,7697.24,ok,segment
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,OTHER CONTRACTUAL SERVICES,40,3575.0,3575.0,ok,segment
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,ACQUISITION OF ASSETS,40,172.56,172.56,ok,segment
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,PERSONNEL COMP. FULL-TIME PERMANENT,43,1767558.1,1767558.1,ok,segment
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,PERSONNEL BENEFITS,43,659.25,0.0,no_records,segment
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,NET PAYROLL EXPENSES,43,1768217.35,1767558.1,fail,block_running_total
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,TRAVEL AND TRANSPORTATION OF PERSONS,68,106633.0,106630.29,fail,segment
