source_doc,source_pdf,source_page,reference_page,classification,assigned_to_block,block_start_page,block_reference_start,office,funding_year,word_count,visual_row_count,reason
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,1,1,other,False,,,,,37,18,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,2,2,other,False,,,,,0,0,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,3,3,other,False,,,,,1,1,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,4,4,other,False,,,,,0,0,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,5,5,toc,False,,,,,115,60,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,6,6,toc,False,,,,,96,60,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,7,7,toc,False,,,,,96,60,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,8,8,toc,False,,,,,104,50,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,9,9,toc,False,,,,,95,32,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,10,10,other,False,,,,,40,32,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,11,11,other,False,,,,,115,38,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,12,12,other,False,,,,,237,41,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,13,13,other,False,,,,,183,35,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,14,14,other,False,,,,,147,35,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,15,15,other,False,,,,,174,47,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,16,16,other,False,,,,,139,47,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,17,17,other,False,,,,,30,9,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,18,18,other,False,,,,,0,0,non_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,19,19,banner,True,19,19,OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2023,57,30,block_start
