office,funding_year,start_page,status,record_count,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,17,ok,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2025,18,ok,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2024,19,ok,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2025,20,ok,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (D),2025,21,ok,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (D),2026,22,ok,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2024,23,ok,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2025,24,ok,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2026,25,ok,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2024,26,ok,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2025,27,ok,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2026,28,ok,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2024,29,ok,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2025,30,ok,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2026,31,ok,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (D),2024,32,ok,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2025,33,ok,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2026,34,ok,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,35,ok,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2026,36,ok,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (R),2024,37,ok,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (R),2025,38,ok,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2025,39,ok,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2026,40,ok,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2024,41,ok,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2025,42,ok,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2026,43,ok,1,1,15.07,0.0,0,0
MINORITY WHIP (R),2024,44,ok,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2025,45,ok,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2026,46,ok,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2024,47,ok,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2025,48,ok,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2026,49,ok,1,1,258.85,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (R),2024,50,ok,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2025,51,ok,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2026,52,ok,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2024,53,ok,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2025,54,ok,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2026,55,ok,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2024,56,ok,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2025,57,ok,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2026,58,ok,0,0,0.0,0.0,0,0
APPROPRIATIONS,2024,59,ok,0,0,0.0,0.0,0,0
APPROPRIATIONS,2025,60,ok,0,0,0.0,0.0,0,0
APPROPRIATIONS,2026,61,ok,119,119,8730609.99,0.0,0,0
CHAPLAIN,2024,64,ok,0,0,0.0,0.0,0,0
CHAPLAIN,2025,65,ok,0,0,0.0,0.0,0,0
CHAPLAIN,2025,66,ok,0,0,0.0,0.0,0,0
CHAPLAIN,2026,67,ok,4,4,344049.88,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,68,ok,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2025,69,ok,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2024,70,ok,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2025,71,ok,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (D),2025,72,ok,0,0,0.0,0.0,0,0
